state,GDP(in Rs.Lakh Crore)
Andaman & Nicobar Islands,0.06867
Andhra Pradesh,6.26614
Arunachal Pradesh,0.16668
Assam,2.3104
Bihar,3.81383
Chandigarh,0.29866
Chhattisgarh,2.44579
NCT OF Delhi,5.65327
Goa,0.53063
Gujarat,11.8302
Haryana,5.32996
Himachal Pradesh,1.16414
Jammu & Kashmir,1.15062
Jharkhand,2.29274
Karnataka,10.85101
Kerala,5.54228
Madhya Pradesh,5.43272
Maharashtra,19.57381
Manipur,0.18262
Meghalaya,0.23719
Mizoram,0.161
Nagaland,0.16868
Odisha,3.86733
Puducherry,0.26209
Punjab,3.97019
Rajasthan,6.43278
Sikkim,0.18625
Tamil Nadu,12.04667
Telangana,6.08401
Tripura,0.36754
Uttar Pradesh,10.97353
Uttarakhand,1.86083
West Bengal,7.3892
